#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,ID
1,VINACOMIN MINING GEOLOGY JOINT STOCK COMPANY,VMG,[redacted],[redacted],,Cẩm Thành,Quảng Ninh,Đông Bắc Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,5701436805,Vietnam Tax Identification Number,False,3272,"Concrete products, nec",,,M,2010,2,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],,Estimated,Estimated,0,10600,None or Not Available,Joint venture,HQ,396753000000,17060379,17115798,VND,Actual,107.2788625,21.0117606,2,0666326549
2,TNG INVESTMENT AND TRADING JOINT STOCK COMPANY,TNG,[redacted],[redacted],,Hoàng Văn Thụ,Thái Nguyên,Đông Bắc Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,4600305723,Vietnam Tax Identification Number,False,2389,"Apparel and accessories, nec",,,M,2021,21,[redacted],Chairman and CEO,[redacted],[redacted],[redacted],,Estimated,Estimated,0,15619,Imports & Exports,Joint venture,HQ,4480200000000,192648600,193274408,VND,Actual,105.833992,21.593319,1,0666436595
3,FUHONG PRECISION COMPONENT(BAC GIANG) COMPANY LIMITED,,[redacted],[redacted],,Nếnh,Bắc Giang,Đông Bắc Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,2400373024,Vietnam Tax Identification Number,False,3661,Telephone and telegraph apparatus,,,M,2021,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,20000,20000,Imports & Exports,Corporation,SingleLocation,22325321290000,982314137,985505129,VND,Actual,106.0972,21.238973,1,0666445853
4,LIEN VIET POST JOINT STOCK COMMERCIAL BANK,LIENVIETPOSTBANK,[redacted],[redacted],,Hà Nội,Hà Nội City,Đồng Bằng Sông Hồng,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,6300048638,Vietnam Tax Identification Number,False,6029,"Commercial banks, nec",,,M,2021,64,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Estimated,0,9946,None or Not Available,Joint venture,HQ,17869155000000,768373665,770869684,VND,Actual,105.8581258,21.0285652,2,0666455711
5,GENERAL CORPORATION 15,15.CORP,[redacted],[redacted],,Yên Thế,Gia Lai,Tây Nguyên,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,5900189438,Vietnam Tax Identification Number,False,1542,"Nonresidential construction, nec",,,M,1996,16,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,19722,Imports & Exports,Corporation,HQ,126585000000,5696325,5714829,VND,Actual,107.9699951,14.0354599,2,0666435450
6,EB SERVICES COMPANY LIMITED,EBS,[redacted],[redacted],,Phường 1,Hồ Chí Minh City,Đông Nam Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,0105696842,Vietnam Tax Identification Number,False,5411,Grocery stores,,,M,2012,6,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,0,40000,Imports,Corporation,HQ,16449458000000,723776152,726127298,VND,Actual,106.6975648,10.8024349,2,0666387071
7,BROADPEAK SOC TRANG COMPANY LIMITED,"BROADPEAK SOC TRANG CO., LTD",[redacted],[redacted],,An Hiệp,Sóc Trăng,Đồng bằng Sông Cửu Long,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,2200733939,Vietnam Tax Identification Number,False,3111,Leather tanning and finishing,,,,2017,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Actual,Actual,8000,8000,Imports & Exports,Corporation,SingleLocation,865861000000,38097884,38221642,VND,Actual,105.9631405,9.6500070,2,0668160209
8,VIETNAM AIRLINES JSC,VIETNAM AIRLINES,[redacted],[redacted],,Bồ Đề,Hà Nội City,Đồng Bằng Sông Hồng,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],https://www.vietnamairlines.com/vn/vi/home,0100107518,Vietnam Tax Identification Number,False,4512,"Air transportation, scheduled",,,M,2015,1169,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Estimated,0,18641,Imports & Exports,Joint venture,HQ,18312087000000,805731828,808349203,VND,Actual,105.8820051,21.0450201,2,0666328441
9,"WONDO SAI GON CO.,LTD",,[redacted],[redacted],,An Phú,An Giang,Đồng bằng Sông Cửu Long,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,3700679061,Vietnam Tax Identification Number,False,2211,"Broadwoven fabric mills, cotton",,,M,2015,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Actual,Actual,11555,11555,None or Not Available,Corporation,SingleLocation,30157000000,1326908,1331218,VND,Actual,105.092767,10.814397,1,0667525317
10,"GREEN TG CO.,LTD",GREEN TG,[redacted],[redacted],,Tân Hương,Tiền Giang,Đồng bằng Sông Cửu Long,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],http://greentextile.co.kr/,1201449742,Vietnam Tax Identification Number,False,2389,"Apparel and accessories, nec",,,,2013,2,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,0,40000,None or Not Available,Corporation,HQ,173025000000,7440075,7464243,VND,Actual,106.370331,10.485282,1,0667528150
11,ASIA COMMERCIAL JOINT STOCK BANK,ACB,[redacted],[redacted],,Phường 5,Hồ Chí Minh City,Đông Nam Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],www.acb.com.vn,0301452948,Vietnam Tax Identification Number,False,6029,"Commercial banks, nec",,,M,1993,66,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Estimated,0,12112,None or Not Available,Joint venture,HQ,33713810000000,1483407640,1488226407,VND,Actual,106.7006857,10.7856608,2,0666371047
12,SURVEY DESIGN AND INVESTMENT CONSULTING JOINT STOCK COMPANY,SDICO,[redacted],[redacted],,Hồ Chí Minh,Hồ Chí Minh City,Đông Nam Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,0304267076,Vietnam Tax Identification Number,False,9999,Nonclassifiable establishments,,,,2006,0,[redacted],Director,[redacted],[redacted],[redacted],,,Actual,,1915000,None or Not Available,Joint venture,SingleLocation,4591510000,197435,198076,VND,Actual,106.7035849,10.7709139,2,0666507941
13,SOUTHERN POWER CORPORATION,EVNSPC,[redacted],[redacted],,Hồ Chí Minh,Hồ Chí Minh City,Đông Nam Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],www.evnspc.vn,0300942001,Vietnam Tax Identification Number,False,4911,Electric services,,,M,2010,119,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Estimated,0,22000,Imports & Exports,Corporation,HQ,138640615000000,6100187060,6120003178,VND,Actual,106.7020831,10.7792758,2,0666382372
14,VIETNAM EVER-STAR COMPANY LIMITED,"VIETNAM EVER-STAR CO.,LTD",[redacted],[redacted],,Yên Sơn,Tuyên Quang,Đông Bắc Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,2400810595,Vietnam Tax Identification Number,False,3089,"Plastics products, nec",,,M,2017,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Actual,Actual,10005,10005,None or Not Available,Corporation,SingleLocation,7976311744186,342981405,344095561,VND,Modeled,105.2931591,21.8340625,1,0668159990
15,VNPT VINAPHONE CORPORATION,VNPT - VINAPHONE,[redacted],[redacted],,Hà Nội,Lâm Đồng,Tây Nguyên,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],http://www.vinaphone.com.vn/,0106869738,Vietnam Tax Identification Number,False,4813,"Telephone communication, except radio",,,M,2015,197,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Estimated,0,12500,Imports,Corporation,HQ,41500032000000,1826001408,1831933072,VND,Actual,108.4920194,11.7620859,2,0666476595
16,MOBILE WORLD INVESTMENT CORPORATION,MWI CORP.,[redacted],[redacted],,Phú Cường,Bình Dương,Đông Nam Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,0306731335,Vietnam Tax Identification Number,False,5045,"Computers, peripherals, and software",,,M,2009,515,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Estimated,0,65795,Imports & Exports,Joint venture,HQ,203024571428571,8527032000,8554731589,VND,Modeled,106.6609415,10.9823663,2,0666510541
17,THACH DINH SHOES JOINT STOCK COMPANY,,[redacted],[redacted],,Điện Biên,Thanh Hóa,Bắc Trung Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,2803023230,Vietnam Tax Identification Number,False,3021,Rubber and plastics footwear,,,M,2022,0,[redacted],Director & Chairman,[redacted],[redacted],[redacted],,Actual,Actual,8000,8000,None or Not Available,Joint venture,SingleLocation,3757714285714,157824000,158336682,VND,Modeled,105.8909727,19.7325745,2,0737219336
18,HUNG YEN GARMENT CORPORATION - JOINT STOCK COMPANY,,[redacted],[redacted],,Minh Khai,Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,0900108038,Vietnam Tax Identification Number,False,2211,"Broadwoven fabric mills, cotton",,,M,2005,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,15000,15000,Imports & Exports,Joint venture,SingleLocation,578649000000,24881907,24962734,VND,Actual,106.0457470,20.6446225,2,0666383763
